Serotype	Color
ST512-KL107	#cc25d6
ST147-KL64	#21b418
ST258-KL106	#834706
ST11-KL24	#1da1f5
ST307-KL102	#481bed
ST101-KL17	#fd5652
ST395-KL2	#0d877b
ST258-KL107	#7b418f
ST405-KL151	#b08607
ST15-KL112	#ad79ac
ST11-KL105	#9168fc
ST147-KL107	#0871bf
ST15-KL24	#2e6b01
ST231-KL51	#b50951
ST39-KL23	#74c2ca
ST392-KL27	#a6bd81
ST14-KL2	#c10171
ST252-KL81	#406dc3
ST383-KL30	#82c3aa
ST16-KL51	#2dcad1
ST395-KL108	#2b6cd5
ST1828-KL186	#2abda8
ST395-KL39	#1bcab9
ST437-KL36	#03593f
ST2096-KL107	#295c2d
ST231-KL107	#ef7df3
ST11-KL15	#004c87
ST231-KL50	#6cbda4
ST2502-KL17	#0663a9
ST54-KL14	#c52240
ST147-KL20	#ce0b68
ST307-KL107	#8551f3
ST48-KL62	#155575
ST12-KL122	#8ec58d
ST23-KL57	#f99a48
ST11-KL107	#7fb590
ST661-KL140	#b3be2a
ST78-KL2	#6e67e0
ST336-KL25	#e09f85
ST14-KL64	#fd76d1
ST25-KL2	#60c7b9
ST101-KL107	#7067fc
ST107-KL103	#16569d
ST268-KL20	#17469b
ST307-KL50	#adbe64
ST45-KL24	#61ca9e
ST3345-KL7	#c40122
ST16-KL50	#d9a87c
ST491-KL118	#035c8e
ST13-KL107	#58b497
ST29-KL54	#64aea6
ST2938-KL136	#c13060
ST34-KL10	#075c04
ST35-KL124	#c8337d
ST15-KL19	#57c191
ST147-KL10	#4861c4
ST15-KL64	#d51981
ST1519-KL107	#155c88
ST323-KL21	#6ba87f
ST11-KL13	#31c3b1
ST15-KL48	#adace1
ST2096-KL64	#054faa
ST273-KL74	#ba0c1c
ST340-KL19	#17bbac
ST437-KL52	#95b860
ST23-KL1	#b2b904
ST377-KL102	#70bdb7
ST1427-KL155	#264395
ST15-KL39	#b4a4f8
ST17-KL122	#ca3561
ST17-KL25	#f269cc
ST218-KL57	#28b0ac
ST464-KL53	#d392f9
ST101-KL64	#e0a84f
ST15-KL107	#85c577
ST395-KL107	#c5b820
ST5000-KL24	#7cb799
ST554-KL107	#e66ded
ST101-KL106	#a11549
ST147-KL166	#e485ee
ST147-KL35	#095b39
ST234-KL30	#15cbda
ST2975-KL102	#815fdc
ST321-KL3	#50b9b8
ST37-KL38	#f88a12
ST485-KL28	#881247
ST5001-KL24	#225173
ST11-KL14	#5fc6c8
ST14-KL107	#d0b157
ST147-KL112	#2867be
ST147-KL50	#166a1c
ST1685-KL17	#c05215
ST1961-KL48	#05bfc1
ST1978-KL28	#59bba6
ST22-KL11	#8ac19b
ST3362-KL24	#f49b5b
ST340-KL15	#7871f2
ST39-KL107	#145abb
ST39-KL2	#c0b852
ST643-KL178	#42642b
ST868-KL107	#6763f4
ST152-KL46	#bb2442
ST1805-KL48	#285e0a
ST1916-KL27	#ed8eb7
ST2217-KL13	#c21060
ST252-KL51	#1d5c77
ST27-KL103	#5a6ec6
ST29-KL107	#0973c2
ST3360-KL19	#55c4b1
ST35-KL108	#4470af
ST378-KL125	#bdb577
ST380-KL2	#295f96
ST5379-KL126	#e79874
ST5473-KL171	#216ba8
ST5552-KL24	#e699a0
ST628-KL2	#31c8a3
Other	#d9d9d9
